"id","flowers","scientific_name","observed_on","latitude","longitude"
58129,"1","Claytonia virginica","2012-03-14",39.1992603646,-82.7857653327
60878,"1","Claytonia virginica","2012-03-18",37.5234368,-77.5253962
62915,"1","Claytonia virginica","2012-04-06",41.1285634289,-81.5438350349
71851,"1","Claytonia virginica","2012-04-29",40.8621330261,-82.3219528198
229730,"1","Claytonia virginica","2013-04-05",35.94183119,-78.97540112
236518,"1","Claytonia virginica","2013-04-14",41.04564232,-81.80401039
240011,"1","Claytonia virginica","2013-04-18",41.1231627188,-81.5176394994
247008,"1","Claytonia virginica","2013-04-27",39.960796,-80.459347
249102,"1","Claytonia virginica","2013-04-29",41.1103333333,-81.9151666667
465413,"1","Claytonia virginica","2010-04-10",41.993483,-87.761699
555356,"1","Claytonia virginica","2014-02-25",32.51275,-92.047864
555913,"1","Claytonia virginica","2012-04-14",44.761208,-91.747573
555919,"1","Claytonia virginica","2012-04-08",44.604958,-92.007578
606154,"1","Claytonia virginica","2014-04-01",37.807,-77.472
615050,"1","Claytonia virginica","2014-04-01",30.387744,-97.72985
620765,"1","Claytonia virginica","2014-04-12",41.006736,-80.005244
627735,"1","Claytonia virginica","2014-04-16",38.905907,-92.294215
627964,"1","Claytonia virginica","2014-04-16",42.140556,-87.831643
629399,"1","Claytonia virginica","2014-04-17",40.106778,-84.542048
646197,"1","Claytonia virginica","2014-04-27",41.7706333333,-87.8663716667
654464,"1","Claytonia virginica","2014-05-02",40.3156,-79.84908
655950,"1","Claytonia virginica","2014-05-03",43.754988,-91.999326
661531,"1","Claytonia virginica","2014-05-05",41.579254,-87.952766
1336332,"1","Claytonia virginica","2015-03-24",NA,NA
1336608,"1","Claytonia virginica","2015-03-24",40.4919471741,-74.7235794067
1362499,"1","Claytonia virginica","2015-04-03",35.978785,-79.060792
1363629,"1","Claytonia virginica","1970-05-17",39.523973,-82.669947
1402724,"1","Claytonia virginica","2015-04-18",41.77045281,-87.86611385
1403638,"1","Claytonia virginica","2015-04-18",41.068981,-80.084601
1419165,"1","Claytonia virginica","2015-04-18",39.660355,-78.46268
1422481,"1","Claytonia virginica","2015-04-18",41.0478916667,-81.80007
1430856,"1","Claytonia virginica","2015-04-27",37.7159954477,-84.294349663
1441188,"1","Claytonia virginica","2015-04-18",37.47749757,-84.20411288
1443829,"1","Claytonia virginica","2015-04-11",35.464507,-78.899521
1459779,"1","Claytonia virginica","2015-05-06",38.639609,-90.29431
1474138,"1","Claytonia virginica","2015-05-10",40.48687,-74.4140033333
1475853,"1","Claytonia virginica","2015-05-10",40.421693,-74.979369
1476264,"1","Claytonia virginica","2015-05-07",42.149664,-87.783985
1477365,"1","Claytonia virginica","2015-05-10",45.0082816944,-91.7360839722
1485317,"1","Claytonia virginica","2015-04-16",39.261633,-94.733562
1490450,"1","Claytonia virginica","2015-05-07",40.317067,-79.845755
1528496,"1","Claytonia virginica","2015-04-01",36.062252,-86.341635
1672795,"1","Claytonia virginica","2011-04-15",40.881655,-94.56191
1673337,"1","Claytonia virginica","2013-04-25",40.551244,-80.317354
2461220,"1","Claytonia virginica","2015-03-29",32.834339,-97.475131
2482701,"1","Claytonia virginica","2015-04-17",34.730508,-98.722613
2549382,"1","Claytonia virginica","2016-01-03",34.1496582,-88.81979518
2586575,"1","Claytonia virginica","2015-04-24",41.412238,-81.880851
2702457,"1","Claytonia virginica","2016-02-20",33.0071611167,-87.6343833333
2759389,"1","Claytonia virginica","2016-03-05",36.1014,-86.5587
2776791,"1","Claytonia virginica","2016-03-12",32.744443,-96.297701
2779795,"0","Claytonia virginica","2016-02-28",39.00741893,-77.2543838
2779825,"1","Claytonia virginica","2016-03-12",38.9829389,-77.22945918
2792143,"1","Claytonia virginica","2016-03-16",36.077586,-86.310151
2792450,"1","Claytonia virginica","2016-03-16",40.600053,-74.674818
2799860,"1","Claytonia virginica","2016-03-18",35.9928634297,-79.0478095227
2809731,"1","Claytonia virginica","2016-03-20",39.8705366667,-89.6154466667
2810112,"1","Claytonia virginica","2016-03-20",38.86339,-92.3179
2814759,"1","Claytonia virginica","2016-03-15",36.2919616667,-95.5877833333
2828443,"1","Claytonia virginica","2016-03-24",41.048143,-81.801939
2829056,"0","Claytonia virginica","2016-03-25",40.6184908748,-89.0181503166
2830699,"1","Claytonia virginica","2016-03-25",32.312924,-95.204665
2835047,"1","Claytonia virginica","2016-03-26",38.750151,-77.106986
2839802,"1","Claytonia virginica","2016-03-27",41.0088,-80.004293
2866678,"1","Claytonia virginica","2016-04-02",32.3256682651,-90.1561220829
2867101,"1","Claytonia virginica","2016-04-02",32.324958737,-90.1576327533
2867601,"1","Claytonia virginica","2016-04-02",40.5704604322,-74.7632002272
2872754,"1","Claytonia virginica","2016-04-02",44.658862,-92.16693
2876182,"1","Claytonia virginica","2016-04-02",38.941907,-76.692896
2904874,"1","Claytonia virginica","2016-04-09",40.2923075622,-74.7259910312
2913412,"1","Claytonia virginica","2016-04-09",37.54717,-77.512929
2919341,"1","Claytonia virginica","2016-04-10",37.7796466667,-95.9451533333
2919468,"1","Claytonia virginica","2016-04-10",38.988985,-77.253714
2928108,"1","Claytonia virginica","2016-04-13",40.6731770933,-81.6440687422
2931122,"1","Claytonia virginica","2016-04-13",38.8733639317,-76.9405414839
2933114,"1","Claytonia virginica","2016-04-14",40.2907177247,-74.7232010309
2934130,"1","Claytonia virginica","2016-04-14",40.2932176693,-74.7258718406
2937279,"1","Claytonia virginica","2016-04-14",39.6971366667,-89.5979616667
2946035,"1","Claytonia virginica","2016-04-14",40.2906392282,-74.7230111808
2949264,"1","Claytonia virginica","2016-04-16",40.2921965439,-74.7263457534
2950644,"1","Claytonia virginica","2016-04-14",40.652477,-74.2435
2961893,"1","Claytonia virginica","2016-04-17",39.960504,-80.46098
2964753,"1","Claytonia virginica","2016-04-18",41.2221130031,-81.508012265
2966372,"1","Claytonia virginica","2016-04-18",41.4454430296,-83.7826731988
2973736,"1","Claytonia virginica","2016-04-19",40.29237,-74.7247916667
2974589,"1","Claytonia virginica","2016-04-19",41.1349740252,-81.5742230975
3005779,"1","Claytonia virginica","2016-04-21",45.2297583333,-90.580955
3013327,"1","Claytonia virginica","2016-04-23",36.8610556811,-80.358302924
3013634,"1","Claytonia virginica","2016-04-22",41.110786,-81.799588
3022524,"1","Claytonia virginica","2016-04-23",44.5498398819,-73.1838629122
3022840,"1","Claytonia virginica","2016-04-23",38.988565011,-77.9568532762
3041955,"1","Claytonia virginica","2016-04-25",40.177056,-79.774279
3050720,"1","Claytonia virginica","2016-04-28",37.3733163625,-88.926750105
3073197,"1","Claytonia virginica","2016-04-30",40.5151472733,-74.4379527122
3083908,"0","Claytonia virginica","2016-04-27",39.443716,-82.227226
3126164,"1","Claytonia virginica","2016-05-07",40.328978,-74.94246
3171672,"1","Claytonia virginica","2016-04-18",40.29193,-74.7285916667
3190130,"1","Claytonia virginica","2016-05-16",40.1681833333,-77.9573883333
3200760,"1","Claytonia virginica","2016-05-14",43.874284856,-76.2690927664
3231320,"1","Claytonia virginica","2016-05-20",41.2225386361,-81.511463346
3239983,"1","Claytonia virginica","2016-05-20",41.220069,-81.511958
3254684,"1","Claytonia virginica","2016-05-21",39.7119160785,-75.7722786564
3259722,"0","Claytonia virginica","2016-05-21",39.7530404172,-75.7593760058
3932239,"1","Claytonia virginica","2016-04-16",40.1747166667,-75.7295
4048019,"1","Claytonia virginica","2016-04-11",40.4756194444,-74.4313444444
4512560,"1","Claytonia virginica","2016-04-24",42.4863082228,-83.9894485474
4512576,"1","Claytonia virginica","2016-04-24",42.486292399,-83.9894163609
4925308,"1","Claytonia virginica","2013-04-20",38.904391563,-78.5922595503
4947722,"1","Claytonia virginica","2009-04-20",38.8221355,-77.5381322
5077111,"1","Claytonia virginica","2017-02-07",29.7044205682,-96.762799769
5084649,"1","Claytonia virginica","2017-02-10",33.44462389,-94.07484973
5115263,"1","Claytonia virginica","2017-02-15",33.7532643507,-98.3941610815
5134620,"1","Claytonia virginica","2017-02-18",34.1415833056,-82.00695
5140002,"1","Claytonia virginica","2017-02-18",31.5954400178,-96.53622888
5176418,"1","Claytonia virginica","2017-02-25",30.5343418133,-91.1182747008
5176424,"1","Claytonia virginica","2017-02-25",30.5347497359,-91.1179137915
5185711,"1","Claytonia virginica","2017-02-26",36.0136642456,-78.8943862915
5216998,"1","Claytonia virginica","2017-03-03",33.4446639333,-94.0750716235
5217029,"1","Claytonia virginica","2017-03-03",33.44338523,-94.07455891
5231474,"1","Claytonia virginica","2017-03-05",33.7523882138,-98.3931183257
5259514,"1","Claytonia virginica","2017-03-09",37.149492,-86.1535885
5282421,"1","Claytonia virginica","2017-03-10",32.7682083333,-94.9846583333
5293990,"1","Claytonia virginica","2017-03-12",33.1908316667,-87.4741433333
5373544,"1","Claytonia virginica","2016-04-12",41.2299434939,-81.5554189682
5374271,"1","Claytonia virginica","2017-03-16",38.5908133333,-92.2337333333
5385548,"1","Claytonia virginica","2017-03-15",33.3120877038,-96.2472104654
5398311,"1","Claytonia virginica","2017-03-19",36.0786521,-79.00814169
