"observed_year","id_cells","onset","on_low_ci","on_high_ci","offset","off_low_ci","off_high_ci","duration","base_date","onset_date","offset_date","onset_doy","offset_doy"
2017,2296,77.9,77,79.7,105.55,102,106,27.65,2017-01-01,2017-03-19,2017-04-16,78,106
2018,2296,54.8,54,56.6,110.6,93,117,55.8,2018-01-01,2018-02-24,2018-04-21,55,111
2017,2403,48.5,47,52.75,106.75,103.25,108,58.25,2017-01-01,2017-02-18,2017-04-17,49,107
2018,2403,61.5,49,70.5,118.75,115.75,128,57.25,2018-01-01,2018-03-03,2018-04-29,62,119
2018,2496,67.6,52,76,122.1,112.85,126,54.5,2018-01-01,2018-03-09,2018-05-03,68,123
2018,2571,71.35,71,74.5,114.65,104,115,43.3,2018-01-01,2018-03-13,2018-04-25,72,115
2018,2754,96.8,89,101,125.35,121.1,126,28.55,2018-01-01,2018-04-07,2018-05-06,97,126
2018,2755,103.6,100,112,119.7,117.4,120,16.1,2018-01-01,2018-04-14,2018-04-30,104,120
2017,2777,53.3,52,55.3,112.65,103.05,125,59.35,2017-01-01,2017-02-23,2017-04-23,54,113
2018,2777,68.5,59,78,113.5,98,118,45,2018-01-01,2018-03-10,2018-04-24,69,114
2018,2947,105.4,104,108,125.25,117.65,127,19.85,2018-01-01,2018-04-16,2018-05-06,106,126
2018,2950,67,65,71.5,121.5,104,124,54.5,2018-01-01,2018-03-09,2018-05-02,68,122
2018,3040,85.85,82,97.95,121.45,119,122,35.6,2018-01-01,2018-03-27,2018-05-02,86,122
2018,3044,86.05,82,91,124.75,118.55,127,38.7,2018-01-01,2018-03-28,2018-05-05,87,125
2017,3047,61.8,49,81,114.6,107.8,117,52.8,2017-01-01,2017-03-03,2017-04-25,62,115
2018,3047,76.4,74,80.2,122.6,117,125,46.2,2018-01-01,2018-03-18,2018-05-03,77,123
2018,3055,87.45,77,88.4,127.1,119.4,129,39.65,2018-01-01,2018-03-29,2018-05-08,88,128
2016,3056,78.3,75,86,131.4,105.4,141,53.1,2016-01-01,2016-03-19,2016-05-11,79,132
2017,3056,57.2,55,59.55,108.45,106,109,51.25,2017-01-01,2017-02-27,2017-04-19,58,109
2018,3056,83.2,77,90.2,123.4,118.8,126,40.2,2018-01-01,2018-03-25,2018-05-04,84,124
2018,3057,96.25,94,103,117.75,114.25,118,21.5,2018-01-01,2018-04-07,2018-04-28,97,118
2018,3139,91.25,91,94.25,110.5,107,111,19.25,2018-01-01,2018-04-02,2018-04-21,92,111
2017,3148,77,68,86,107,104.5,108,30,2017-01-01,2017-03-19,2017-04-18,78,108
2018,3148,94.25,88,96.5,126.5,121.5,132,32.25,2018-01-01,2018-04-05,2018-05-07,95,127
2016,3149,76,72,80.8,117.2,111,130,41.2,2016-01-01,2016-03-17,2016-04-27,77,118
2017,3149,69.2,56,84.2,120,112.6,235,50.8,2017-01-01,2017-03-11,2017-05-01,70,121
2018,3149,68.5,63,77.9,126.1,123,131,57.6,2018-01-01,2018-03-10,2018-05-07,69,127
2016,3221,85.2,85,89.6,121.4,103.749753905878,124,36.2,2016-01-01,2016-03-26,2016-05-01,86,122
2018,3231,93,91,101,110.8,103.4,111,17.8,2018-01-01,2018-04-04,2018-04-21,94,111
2018,3232,103.1,103,104.3,114.8,103,116,11.7,2018-01-01,2018-04-14,2018-04-25,104,115
2018,3242,104,100,108,124.5,120,125,20.5,2018-01-01,2018-04-15,2018-05-05,105,125
2018,3243,107.8,107,111,122.4,112.906194007441,124,14.6,2018-01-01,2018-04-18,2018-05-03,108,123
2018,3314,119.3,119,120.2,133.2,127.7,135,13.9,2018-01-01,2018-04-30,2018-05-14,120,134
2018,3327,95.5,88,103,137,128.5,140,41.5,2018-01-01,2018-04-06,2018-05-18,96,138
2018,3329,95.5,91,100.9,129.1,120.5,130,33.6,2018-01-01,2018-04-06,2018-05-10,96,130
2018,3330,83.6,77,88,118.4,112,119,34.8,2018-01-01,2018-03-25,2018-04-29,84,119
2017,3337,85.7,83,92,106.8,99.7,108,21.1,2017-01-01,2017-03-27,2017-04-17,86,107
2018,3337,95.75,95,100.5,125.5,120.25,127,29.75,2018-01-01,2018-04-06,2018-05-06,96,126
2018,3407,112.1,111,122,125.6,111,126,13.5,2018-01-01,2018-04-23,2018-05-06,113,126
2017,3409,84,80,85.6,142.6,123.6,145,58.6,2017-01-01,2017-03-26,2017-05-23,85,143
2018,3409,101.5,90,112,139.95,129.9,145,38.45,2018-01-01,2018-04-12,2018-05-20,102,140
2018,3410,117.45,117,120.6,142.1,137.6,143,24.65,2018-01-01,2018-04-28,2018-05-23,118,143
2018,3418,100.2,99,103,129.9,121.1,132,29.7,2018-01-01,2018-04-11,2018-05-10,101,130
2016,3419,85.3,84,86.65,142.1,123.25,146,56.8,2016-01-01,2016-03-26,2016-05-22,86,143
2017,3419,85.95,84,91.15,118.7,113,120,32.75,2017-01-01,2017-03-27,2017-04-29,86,119
2018,3419,96,91,103,140,122,145,44,2018-01-01,2018-04-07,2018-05-21,97,141
2016,3420,86,82,93.2,141.8,132.2,145,55.8,2016-01-01,2016-03-27,2016-05-21,87,142
2017,3420,92.4,92,93.2,133.6,116,134,41.2,2017-01-01,2017-04-03,2017-05-14,93,134
2018,3420,107.4,104,109.7,132.15,127.75,133,24.75,2018-01-01,2018-04-18,2018-05-13,108,133
2018,3430,106.25,103,108.2,133.4,127,136,27.15,2018-01-01,2018-04-17,2018-05-14,107,134
2016,3431,83,76,88.1,129.5,114.5,133,46.5,2016-01-01,2016-03-24,2016-05-09,84,130
2017,3431,94.15,84,98,131.85,122.25,135,37.7,2017-01-01,2017-04-05,2017-05-12,95,132
2018,3431,92.4,89,99.8,134.8,126.8,140,42.4,2018-01-01,2018-04-03,2018-05-15,93,135
2017,3502,96.6,91,100.8,134.3,118.9,135,37.7,2017-01-01,2017-04-07,2017-05-15,97,135
2018,3502,110,109,111,135,128,136,25,2018-01-01,2018-04-21,2018-05-16,111,136
2018,3504,78,76,96,115.8,76,118,37.8,2018-01-01,2018-03-20,2018-04-26,79,116
2018,3512,100,97,104.8,127.6,121.4,133,27.6,2018-01-01,2018-04-11,2018-05-08,101,128
2016,3513,80.2,79,82,114.2,96.2,115,34,2016-01-01,2016-03-21,2016-04-24,81,115
2018,3513,106.8,102,108.4,129,126,133,22.2,2018-01-01,2018-04-17,2018-05-10,107,130
2016,3524,77.1,73,81.55,128.9,122.209852196287,135,51.8,2016-01-01,2016-03-18,2016-05-08,78,129
2017,3524,94.1,92,101.2,142.9,130.45,146,48.8,2017-01-01,2017-04-05,2017-05-23,95,143
2018,3524,103.2,101,108.4,142.6,134.2,146,39.4,2018-01-01,2018-04-14,2018-05-23,104,143
2017,3525,92.7,87,97.75,132.1,124.35,134,39.4,2017-01-01,2017-04-03,2017-05-13,93,133
2018,3525,103.55,103,105.1,132.95,121.35,139,29.4,2018-01-01,2018-04-14,2018-05-13,104,133
2018,3604,116.3,115,118.9,135.35,131,136,19.05,2018-01-01,2018-04-27,2018-05-16,117,136
2018,3618,103,100,107.75,131.25,127,138,28.25,2018-01-01,2018-04-14,2018-05-12,104,132
2017,3693,101.6,100,104,126.2,112.6,133,24.6,2017-01-01,2017-04-12,2017-05-07,102,127
2018,3886,118,117,119,134.5,131,136,16.5,2018-01-01,2018-04-29,2018-05-15,119,135
2018,3887,111.4,111,114.6,137,127.4,139,25.6,2018-01-01,2018-04-22,2018-05-18,112,138
2017,4145,100.85,95,108,130.75,123.65,133,29.9,2017-01-01,2017-04-11,2017-05-11,101,131
