"observed_year","id_cells","onset","offset","duration","base_date","onset_date","offset_date","onset_doy","offset_doy"
2017,2296,59.9018756676966,115.755095673062,55.8532200053651,2017-01-01,2017-03-01,2017-04-26,60,116
2018,2296,31.6943117193872,122.665832135284,90.9715204158967,2018-01-01,2018-02-01,2018-05-03,32,123
2017,2403,33.0134749471379,125.574969441377,92.561494494239,2017-01-01,2017-02-03,2017-05-06,34,126
2018,2403,40.4285564685212,137.268688925625,96.8401324571034,2018-01-01,2018-02-10,2018-05-18,41,138
2018,2496,45.0079486015171,139.788928527157,94.7809799256398,2018-01-01,2018-02-15,2018-05-20,46,140
2018,2571,48.3675293926735,134.034496897627,85.6669675049533,2018-01-01,2018-02-18,2018-05-15,49,135
2018,2754,84.7764358932272,131.816291130855,47.0398552376275,2018-01-01,2018-03-26,2018-05-12,85,132
2018,2755,97.3271443667863,125.087213955516,27.7600695887293,2018-01-01,2018-04-08,2018-05-06,98,126
2017,2777,25.538343292683,135.35857847032,109.820235177637,2017-01-01,2017-01-26,2017-05-16,26,136
2018,2777,44.0401412860927,125.482084526157,81.4419432400647,2018-01-01,2018-02-14,2018-05-06,45,126
2018,2947,88.4595623378427,131.499953748121,43.0403914102788,2018-01-01,2018-03-30,2018-05-12,89,132
2018,2950,38.8697686599299,137.430465707057,98.560697047127,2018-01-01,2018-02-08,2018-05-18,39,138
2018,3040,76.1965172078315,130.89913847419,54.7026212663585,2018-01-01,2018-03-18,2018-05-11,77,131
2018,3044,67.1550565964744,137.049969186851,69.8949125903767,2018-01-01,2018-03-09,2018-05-18,68,138
2017,3047,42.7065587199953,133.63218076517,90.9256220451746,2017-01-01,2017-02-12,2017-05-14,43,134
2018,3047,62.5304002006247,133.652083534289,71.1216833336648,2018-01-01,2018-03-04,2018-05-14,63,134
2018,3055,66.2747081671907,135.638806748981,69.3640985817906,2018-01-01,2018-03-08,2018-05-16,67,136
2016,3056,40.8250462975751,154.011695878963,113.186649581388,2016-01-01,2016-02-10,2016-06-03,41,155
2017,3056,40.0348231889263,131.301308565464,91.2664853765378,2017-01-01,2017-02-10,2017-05-12,41,132
2018,3056,66.3842614132341,132.415740745271,66.0314793320366,2018-01-01,2018-03-08,2018-05-13,67,133
2018,3057,83.1035636562974,126.623437810753,43.519874154456,2018-01-01,2018-03-25,2018-05-07,84,127
2018,3139,76.943126984121,118.610313191218,41.6671862070966,2018-01-01,2018-03-18,2018-04-29,77,119
2017,3148,63.0245872409537,116.150303790079,53.1257165491258,2017-01-01,2017-03-05,2017-04-27,64,117
2018,3148,74.127055603853,133.875606247757,59.7485506439036,2018-01-01,2018-03-16,2018-05-14,75,134
2016,3149,53.4605457810145,133.797140403767,80.3365946227524,2016-01-01,2016-02-23,2016-05-13,54,134
2017,3149,22.2737807919684,283.52220057217,261.248419780202,2017-01-01,2017-01-23,2017-10-11,23,284
2018,3149,59.5486938422296,137.434248400258,77.8855545580288,2018-01-01,2018-03-01,2018-05-18,60,138
2016,3221,54.1553147881328,138.927010758362,84.7716959702295,2016-01-01,2016-02-24,2016-05-18,55,139
2018,3231,79.4649771415815,118.301322234013,38.836345092431,2018-01-01,2018-03-21,2018-04-29,80,119
2018,3232,79.9363080748819,124.522433235449,44.5861251605668,2018-01-01,2018-03-21,2018-05-05,80,125
2018,3242,92.1162520508494,129.895115891249,37.7788638403993,2018-01-01,2018-04-03,2018-05-10,93,130
2018,3243,87.9405882822951,129.244507643073,41.3039193607777,2018-01-01,2018-03-29,2018-05-10,88,130
2018,3314,103.778643339018,138.769379208454,34.9907358694354,2018-01-01,2018-04-14,2018-05-19,104,139
2018,3327,78.3409492607037,147.419958325575,69.0790090648712,2018-01-01,2018-03-20,2018-05-28,79,148
2018,3329,78.2849266561921,134.966011306776,56.6810846505838,2018-01-01,2018-03-20,2018-05-15,79,135
2018,3330,67.4250862643782,127.357846607812,59.9327603434339,2018-01-01,2018-03-09,2018-05-08,68,128
2017,3337,70.5603065494925,113.758528658381,43.1982221088889,2017-01-01,2017-03-12,2017-04-24,71,114
2018,3337,78.4880071707531,132.850492241694,54.3624850709408,2018-01-01,2018-03-20,2018-05-13,79,133
2018,3407,95.7598083602809,134.149689235658,38.3898808753769,2018-01-01,2018-04-06,2018-05-15,96,135
2017,3409,50.9450408947672,151.913090716919,100.968049822152,2017-01-01,2017-02-20,2017-06-01,51,152
2018,3409,81.8364046937438,147.087573185318,65.2511684915742,2018-01-01,2018-03-23,2018-05-28,82,148
2018,3410,100.474582945823,150.074769122582,49.600186176759,2018-01-01,2018-04-11,2018-05-31,101,151
2018,3418,77.8278996563764,140.458086771306,62.6301871149297,2018-01-01,2018-03-19,2018-05-21,78,141
2016,3419,53.7282599320265,155.255639564602,101.527379632576,2016-01-01,2016-02-23,2016-06-04,54,156
2017,3419,71.8435448570665,126.4456026587,54.6020578016334,2017-01-01,2017-03-13,2017-05-07,72,127
2018,3419,72.4976413927469,147.647217663376,75.1495762706292,2018-01-01,2018-03-14,2018-05-28,73,148
2016,3420,63.1849083149488,155.510373471693,92.3254651567442,2016-01-01,2016-03-04,2016-06-04,64,156
2017,3420,59.5298601263177,146.798998896183,87.269138769865,2017-01-01,2017-03-01,2017-05-27,60,147
2018,3420,93.3530254344849,137.024892867639,43.6718674331545,2018-01-01,2018-04-04,2018-05-18,94,138
2018,3430,86.9166347941803,139.973498976852,53.056864182672,2018-01-01,2018-03-28,2018-05-20,87,140
2016,3431,62.4135723502178,137.526673651983,75.1131013017655,2016-01-01,2016-03-03,2016-05-17,63,138
2017,3431,69.825366810824,139.437548358454,69.6121815476297,2017-01-01,2017-03-11,2017-05-20,70,140
2018,3431,74.6377121034436,143.200361221704,68.5626491182601,2018-01-01,2018-03-16,2018-05-24,75,144
2017,3502,69.6210116770656,142.013072606432,72.3920609293666,2017-01-01,2017-03-11,2017-05-23,70,143
