rowname,onset,year,id_cells,offset,duration
2019.567,53.0293691,2019,5670,96.70580699,43.67643789
2019.638,38.318782,2019,6380,116.8385185,78.51973648
2019.7899,51.87885414,2019,7899,103.7641517,51.88529759
2019.806,59.71782535,2019,8060,121.6665008,61.94867548
2019.8231,34.22357421,2019,8231,142.2166879,107.9931137
2019.8273,31.77443351,2019,8273,124.1761461,92.40171256
2019.8274,39.79576001,2019,8274,120.6647045,80.86894449
2019.8611,65.36543065,2019,8611,117.3626387,51.99720805
2017.9007,59.69655011,2017,9007,116.081231,56.3846809
2018.9007,32.71133127,2018,9007,121.1897754,88.47844417
2019.9007,39.58142734,2019,9007,114.7747693,75.19334195
2019.9023,47.9257428,2019,9023,129.8122657,81.88652291
2019.9406,25.93903617,2019,9406,126.9774218,101.0383857
2017.959,32.91272598,2017,9590,122.8398036,89.92707764
2018.959,39.11392144,2018,9590,139.0684654,99.95454399
2019.959,32.2876976,2019,9590,138.7182522,106.4305547
2017.9591,31.02500463,2017,9591,133.7975421,102.7725374
2018.9591,66.15064831,2018,9591,131.9211306,65.77048224
2019.9591,51.79042284,2019,9591,113.848074,62.05765114
2019.971,33.41507573,2019,9710,168.4427755,135.0276998
2019.9773,69.38843426,2019,9773,74.58279706,5.1943628
2018.9775,42.48396865,2018,9775,145.0924903,102.6085216
2019.9775,36.65085191,2019,9775,136.3947712,99.74391927
2018.9776,38.97363533,2018,9776,131.3633106,92.3896753
2019.9924,43.48394575,2019,9924,138.7719195,95.28797378
2019.10108,55.24302379,2019,10108,120.6600088,65.41698501
2019.10659,54.00585979,2019,10659,131.3108453,77.30498547
2018.10843,96.37249879,2018,10843,130.5152993,34.14280055
2019.10843,72.84521971,2019,10843,128.0048977,55.15967797
2018.10844,84.54384731,2018,10844,132.4448145,47.90096722
2019.10844,60.62032079,2019,10844,139.9617059,79.34138508
2018.1103,97.33279469,2018,11030,124.900209,27.56741427
2017.11074,24.62071779,2017,11074,134.6275334,110.0068156
2018.11074,44.70428303,2018,11074,125.1794652,80.4751822
2019.11074,43.31537457,2019,11074,127.7401053,84.42473077
2019.1144,57.52292732,2019,11440,124.0380584,66.51513105
